Identifier,State,Year,PublicFunding_Citation,PublicFunding_H,PublicFunding_H_type,PublicFunding_H_explain,Public Funding_H_Qualifying,PublicFunding_H_SpendLimit,PublicFunding_H_SpendLimit_Amount,PublicFunding_H_OtherConditions,PublicFunding_H_OtherConditions_Explained,PublicFunding_H_Trigger,PublicFunding_H_TriggerExplained,PublicFunding_H_Max,PublicFunding_H_Solicitation-by-Cand_Party,PublicFunding_H_Solicitation-by-Cand_Non-Party,PublicFunding_S,PublicFunding_S_type,PublicFunding_S_explain,Public Funding_S_Qualifying,PublicFunding_S_SpendLimit,PublicFunding_S_SpendLimit_Amount,PublicFunding_S_OtherConditions,PublicFunding_S_OtherConditions_Explained,PublicFunding_S_Trigger,PublicFunding_S_TriggerExplained,PublicFunding_S_Max,PublicFunding_S_Solicitation-by-Cand_Party,PublicFunding_S_Solicitation-by-Cand_Non-Party,PublicFunding_G,PublicFunding_G_type,PublicFunding_G_explain,Public Funding_G_Qualifying,PublicFunding_G_SpendLimit,PublicFunding_G_SpendLimit_Amount,PublicFunding_G_OtherConditions,PublicFunding_G_OtherConditions_Explained,PublicFunding_G_Trigger,PublicFunding_G_TriggerExplained,PublicFunding_G_Max,PublicFunding_G_Solicitation-by-Cand_Party,PublicFunding_G_Solicitation-by-Cand_Non-Party,PublicFunding_P,PublicFunding_P_Eligibility,PublicFunding_P_Formula,PublicFunding_P_TwoYrMax,SurchargePF,TaxCheckoffPF,DonatedPF,FilingRegFeesPF,FinesPF,GrantPF,UnexpendedPF,OtherPF,OtherPFExplain,SourcesofFunds,SpendingLimits_Other,SpendingLimits_Other_Explained
"AR2018","AR",2018,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"AR",,,,,,,,,,
"AZ2016","AZ",2016,"ARS §§ 16-807,  43-612, Chapter 6, Article 2 (940-961)","Yes","Full Public Financing","Donors must be registered in the electoral district of the office the candidate is seeking","Must receive 200 qualifying contributions of $5 each from qualified electors","Yes","38133","Yes","Participating candidates are required to attend debates","No","The Supreme Court in McComish v. Bennett ruled that Arizona's matching funds in its public financing system were unconstitutional.",,"Yes","Yes","Yes","Full Public Financing","Donors must be registered in the electoral district of the office the candidate is seeking","Must receive 200 qualifying contributions of $5 each from qualified electors","Yes","38133","Yes","Participating candidates are required to attend debates","No","The Suprmee Court in McComish v. Bennett ruled that Arizona's matching funds in its public financing system were unconstitutional.",,"Yes","Yes","Yes","Full Public Financing","Donors must be registered electors in Arizona","Must receive 4000 qualifying contributions of $5 each from qualified electors","Yes","1,884,040","Yes","Participating candidates are required to attend debates","No","The Supreme Court in McComish v. Bennett ruled that Arizona's matching funds in its public financing system were unconstitutional.",,"Yes","Yes","Yes","Parties are eligible if they are qualified for representation on the state primary and general election ballot. A new party achieves this status through a petitioning process with a signature requirement of 1.33% of the total votes in the Gov. election","Taxpayers select which party they would like their funds distributed to","Not specified",,"AZ",,,,,,,,"For Candidates: 1) A 10% surcharge on civil penalties and criminal court fines, 2) The $5 qualifying contributions that participating candidates must provide to the fund, 3) A $5 tax checkoff (A taxpayer who checks the box receives a five-dollar reduction in the amount of tax, and five dollars from the amount of taxes paid shall be transferred by the department of revenue to the fund), and 4) A dollar-for-dollar tax credit not to exceed twenty percent of the tax amount on the return or five hundred dollars per taxpayer (individual or business entity), whichever is higher.

For Political Parties: Tax forms include a checkoff giving taxpayers the opportunity to indicate a party they would like to contribute $2, $5, or $10 of their tax refund to. Since these funds are deducted from their refund, it does result in taxpayers receiving less money in their refund.",,
"AZ2018","AZ",2018,"ARS §§ 16-807,  43-612, Chapter 6, Article 2 (940-961)","Yes","Full Public Financing","Donors must be registered in the electoral district of the office the candidate is seeking","Must receive 200 qualifying contributions of $5 each from qualified electors","Yes","42488","Yes","Participating candidates are required to attend debates","No","The Supreme Court in McComish v. Bennett ruled that Arizona's matching funds in its public financing system were unconstitutional.","Matches Expenditure Limits","Yes","Yes","Yes","Full Public Financing","Donors must be registered in the electoral district of the office the candidate is seeking","Must receive 200 qualifying contributions of $5 each from qualified electors","Yes","42488","Yes","Participating candidates are required to attend debates","No","The Suprmee Court in McComish v. Bennett ruled that Arizona's matching funds in its public financing system were unconstitutional.","Matches Expenditure Limits","Yes","Yes","Yes","Full Public Financing","Donors must be registered electors in Arizona","Must receive 4000 qualifying contributions of $5 each from qualified electors","Yes","2,099,260","Yes","Participating candidates are required to attend debates","No","The Supreme Court in McComish v. Bennett ruled that Arizona's matching funds in its public financing system were unconstitutional.","Matches Expenditure Limit","Yes","Yes","Yes","Parties are eligible if they are qualified for representation on the state primary and general election ballot. A new party achieves this status through a petitioning process with a signature requirement of 1.33% of the total votes in the Gov. election","Taxpayers select which party they would like their funds distributed to","Not specified",,"AZ",,,,,,,,"For Political Parties: Tax forms include a checkoff giving taxpayers the opportunity to indicate a party they would like to contribute $2, $5, or $10 of their tax refund to. Since these funds are deducted from their refund, it does result in taxpayers receiving less money in their refund.",,
"CA1996","CA",1996,"CRTC §§ 18703, 18705; Stats. 1993 ch. 31 § 26","No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"Yes","2% of vote in gubernatorial election, or stated political affiliation of 1% of the vote, or petition","Individuals get to designate which party will receive their funds","NA",,,,,,,,,,"This public financing is funded through a tax checkoff. A person's tax liability is not decreased by using this checkoff. This form of public financing was discontinued in January 1997.",,
"CA1998","CA",1998,"CRTC §§ 18703, 18705; Stats. 1993 ch. 31 § 26","No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"Yes","2% of vote in gubernatorial election, or stated political affiliation of 1% of the vote, or petition","Individuals get to designate which party will receive their funds","NA",,"CA",,,,,,,,"This public financing is funded through a tax checkoff. A person's tax liability is not decreased by using this checkoff. This form of public financing was discontinued in January 1997.",,
"CA2000","CA",2000,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"CA",,,,,,,,,,
"CA2002","CA",2002,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"CA",,,,,,,,,,
"CA2004","CA",2004,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"CA",,,,,,,,,,
"CA2006","CA",2006,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"CA",,,,,,,,,,
"CA2008","CA",2008,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"CA",,,,,,,,,,
"CA2010","CA",2010,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"CA",,,,,,,,,,
"CA2012","CA",2012,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"CA",,,,,,,,,,
"CA2014","CA",2014,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"CA",,,,,,,,,,
"CA2016","CA",2016,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"CA",,,,,,,,,,
"CA2018","CA",2018,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,,,,,,,,,,,
"CO1996","CO",1996,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,,,,,,,,,,,
"CO1998","CO",1998,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"CO",,,,,,,,,,
"CO2000","CO",2000,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"CO",,,,,,,,,,
"CO2002","CO",2002,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"CO",,,,,,,,,,
"CO2004","CO",2004,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"CO",,,,,,,,,,
"CO2006","CO",2006,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"CO",,,,,,,,,,
"CO2008","CO",2008,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"CO",,,,,,,,,,
"CO2010","CO",2010,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"CO",,,,,,,,,,
"CO2012","CO",2012,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"CO",,,,,,,,,,
"CO2014","CO",2014,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"CO",,,,,,,,,,
"CO2016","CO",2016,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"CO",,,,,,,,,,
"CO2018","CO",2018,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,,,,,,,,,,,
"CT1996","CT",1996,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,,,,,,,,,,,
"CT1998","CT",1998,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,,,,,,,,,,,
"CT2000","CT",2000,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,,,,,,,,,,,
"CT2002","CT",2002,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,,,,,,,,,,,
"CT2004","CT",2004,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,,,,,,,,,,,
"CT2006","CT",2006,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,,,,,,,,,,,
"CT2008","CT",2008,"CGS 9-702, 9-704, 9-705, 9-710, 9-712, 3-69a, 9-750;P.A. 05-05, P.A. 06-137, P.A. 08-2","Yes","Full Public Financing","Once the qualifying threshold is reached, candidates for state representative will be awarded a grant of $10,000 for the primary and $25,000 for the general if they have competitive opposition, 60% of that amount if they have limited opposition, and 30% if they are unpposed. Candidates in party-dominant districts (districts in which the candidate's party has an enrollment margin of at least 20%) will receive $25,000 for the primary and the above general election amounts.","Must raise $5,000 in qualifying contributions of between $5 and $100 from at least 150 residents of municipalities included, in whole or in part, in the district. Contributions from lobbyists, state contractors or their families are not qualifying.","Yes","105000","No",,"Yes","As an opponent raises or spends funds exceeding 100%, 125%, 150%, and 175% of the applicable expenditure limit, participating candidates will receive 25% of the applicable grant amount.","100000","No","No","Yes","Full Public Financing","Once the qualifying threshold is reached, candidates for state representative will be awarded a grant of $35,000 for the primary and $85,000 for the general if they have competitive opposition, 60% of this amount if they have limited opposition, and 30% if they are unpposed. Candidates in party-dominant districts (districts in which the candidate's party has an enrollment margin of at least 20%) will receive $75,000 for the primary and the above general election amounts.","Must raise $15,000 in qualifying contributions of between $5 and $100 from at least 300 residents of municipalities included, in whole or in part, in the district. Contributions from lobbyists, state contractors or their families are not qualifying.","Yes","335,000","No",,"Yes","As an opponent raises or spends funds exceeding 100%, 125%, 150%, and 175% of the applicable expenditure limit, participating candidates will receive 25% of the applicable grant amount.","320,000","No","No","Yes","Full Public Financing","Next election for Governor 2010; Once the qualifying threshold is reached, candidates for Governor will be awarded a grant of $1.25 million for the primary and $6 million for the general if they have competitive opposition, 60% of that amount if they have limited opposition, and 30% if they are unpposed.","Must raise $250,000 in qualifying contributions of between $5 and $100, at least $225,000 of which must be from in-state residents. Contributions from state contractors are not qualifying contributions.","Yes","7500000","No",,"No",,"7250000","No","No","No",,,,,,,,,,,,,"The Citizens' Election Fund is funded through the sale of abandoned property that has reverted to the state. If the amount in the fund is not enough to fulfill all grants, then tax revenue will be used to cover the difference.",,
