Identifier,State,Year,PublicFunding_Citation,PublicFunding_H,PublicFunding_H_type,PublicFunding_H_explain,Public Funding_H_Qualifying,PublicFunding_H_SpendLimit,PublicFunding_H_SpendLimit_Amount,PublicFunding_H_OtherConditions,PublicFunding_H_OtherConditions_Explained,PublicFunding_H_Trigger,PublicFunding_H_TriggerExplained,PublicFunding_H_Max,PublicFunding_H_Solicitation-by-Cand_Party,PublicFunding_H_Solicitation-by-Cand_Non-Party,PublicFunding_S,PublicFunding_S_type,PublicFunding_S_explain,Public Funding_S_Qualifying,PublicFunding_S_SpendLimit,PublicFunding_S_SpendLimit_Amount,PublicFunding_S_OtherConditions,PublicFunding_S_OtherConditions_Explained,PublicFunding_S_Trigger,PublicFunding_S_TriggerExplained,PublicFunding_S_Max,PublicFunding_S_Solicitation-by-Cand_Party,PublicFunding_S_Solicitation-by-Cand_Non-Party,PublicFunding_G,PublicFunding_G_type,PublicFunding_G_explain,Public Funding_G_Qualifying,PublicFunding_G_SpendLimit,PublicFunding_G_SpendLimit_Amount,PublicFunding_G_OtherConditions,PublicFunding_G_OtherConditions_Explained,PublicFunding_G_Trigger,PublicFunding_G_TriggerExplained,PublicFunding_G_Max,PublicFunding_G_Solicitation-by-Cand_Party,PublicFunding_G_Solicitation-by-Cand_Non-Party,PublicFunding_J,PublicFunding_J_type,PublicFunding_J_explain,Public Funding_J_Qualifying,PublicFunding_J_SpendLimit,PublicFunding_J_SpendLimit_Amount,PublicFunding_J_OtherConditions,PublicFunding_J_OtherConditions_Explained,PublicFunding_J_Trigger,PublicFunding_J_TriggerExplained,PublicFunding_J_Max,PublicFunding_J_Solicitation-by-Cand_Party,PublicFunding_J_Solicitation-by-Cand_Non-Party,PublicFunding_P,PublicFunding_P_Eligibility,PublicFunding_P_Formula,PublicFunding_P_TwoYrMax,SurchargePF,TaxCheckoffPF,DonatedPF,FilingRegFeesPF,FinesPF,GrantPF,UnexpendedPF,OtherPF,OtherPFExplain,SourcesofFunds,SpendingLimits_Other,SpendingLimits_Other_Explained
"FL2014","FL",2014,"Fla. Stat. §§ 106.33, 106.34, 106.35 (2014)","No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"Yes","Matching Funds",,"Must raise $150,000","Yes","General election limit = $2 for each Florida registered voter and primary election limit = 60% of general election limit","Yes","Limit loans or contributions from the candidate's personal funds to $25,000 and contributions from national, state, and county executive committees of a political party to $250,000 in the aggregate, which loans or contributions shall not qualify for meeting the threshold amounts in subsection (2).","No",,"$250","No","No",,,,,,,,,,,,,,"No",,,,,"FL",,,,,,,,,,
"FL2016","FL",2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FL2018","FL",2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FL2008","FL",2008,"Fla. Stat. §§ 106.33, 106.34, 106.35 (2008)","No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"Yes","Matching Funds",,"Must raise $150,000","Yes","General election limit = $2 for each Florida registered voter and primary election limit = 60% of general election limit","Yes","Limit loans or contributions from the candidate's personal funds to $25,000 and contributions from national, state, and county executive committees of a political party to $250,000 in the aggregate, which loans or contributions shall not qualify for meeting the threshold amounts in subsection (2).","No",,"$250","No","No",,,,,,,,,,,,,,"No",,,,,"FL",,,,,,,,,,
"FL2006","FL",2006,"Fla. Stat. §§ 106.33, 106.34, 106.35 (2006)","No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"Yes","Matching Funds",,"Must raise $150,000","Yes","General election limit = $2 for each Florida registered voter and primary election limit = 60% of general election limit","Yes","Limit loans or contributions from the candidate's personal funds to $25,000 and contributions from national, state, and county executive committees of a political party to $250,000 in the aggregate, which loans or contributions shall not qualify for meeting the threshold amounts in subsection (2).","No",,"$250","No","No",,,,,,,,,,,,,,"No",,,,,"FL",,,,,,,,,,
"MT2000","MT",2000,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"MT",,,,,,,,,,
"MT2016","MT",2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MT2014","MT",2014,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"MT",,,,,,,,,,
"MT2012","MT",2012,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"MT",,,,,,,,,,
"MT2010","MT",2010,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"MT",,,,,,,,,,
"MT2008","MT",2008,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"MT",,,,,,,,,,
"MT2006","MT",2006,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"MT",,,,,,,,,,
"MT2002","MT",2002,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"MT",,,,,,,,,,
"MT1998","MT",1998,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"MT",,,,,,,,,,
"MT1996","MT",1996,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,,,,,,,,,,,
"MT2018","MT",2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MT2004","MT",2004,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"MT",,,,,,,,,,
"IA2006","IA",2006,"Historic: Iowa Code § 56.19","No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","Have an election account with the state","Designated by taxpayer","N/A",,"IA",,,,,,,,,,
"IA1996","IA",1996,"Historic: Iowa Code § 56.19","No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","Have an election account with the state","Designated by taxpayer","N/A",,,,,,,,,,"Iowa only provides public financing to political parties.  This is done through a """"Political Checkoff"""" on an individual's personal income tax return.
By checking the box, a resident with at least $1.50 in taxes may designate $1.50 to go to the political party of his or her choice.  Joint tax returns of at least $3.00 may earmark two $1.50 denominations of their taxes to the political party or parties of their choice.  If no political party is designated, then the contribution will be divided among the accounts in the same proportion as the number of qualified electors declaring affiliation with each political party.
These funds may only be spent by the party to pay expenses incurred in arranging and holding a nominating convention or purchase/lease items that will be used during an election cycle.",,
"IA1998","IA",1998,"Historic: Iowa Code § 56.19","No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","Have an election account with the state","Designated by taxpayer","N/A",,"IA",,,,,,,,"Iowa only provides public financing to political parties.  This is done through a """"Political Checkoff"""" on an individual's personal income tax return.
By checking the box, a resident with at least $1.50 in taxes may designate $1.50 to go to the political party of his or her choice.  Joint tax returns of at least $3.00 may earmark two $1.50 denominations of their taxes to the political party or parties of their choice.  If no political party is designated, then the contribution will be divided among the accounts in the same proportion as the number of qualified electors declaring affiliation with each political party.
These funds may only be spent by the party to pay expenses incurred in arranging and holding a nominating convention or purchase/lease items that will be used during an election cycle.",,
"IA2000","IA",2000,"Historic: Iowa Code § 56.19","No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","Have an election account with the state","Designated by taxpayer","N/A",,"IA",,,,,,,,"Iowa only provides public financing to political parties.  This is done through a """"Political Checkoff"""" on an individual's personal income tax return.
By checking the box, a resident with at least $1.50 in taxes may designate $1.50 to go to the political party of his or her choice.  Joint tax returns of at least $3.00 may earmark two $1.50 denominations of their taxes to the political party or parties of their choice.  If no political party is designated, then the contribution will be divided among the accounts in the same proportion as the number of qualified electors declaring affiliation with each political party.
These funds may only be spent by the party to pay expenses incurred in arranging and holding a nominating convention or purchase/lease items that will be used during an election cycle.",,
"IA2004","IA",2004,"Historic: Iowa Code § 56.19","No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","Have an election account with the state","Designated by taxpayer","N/A",,"IA",,,,,,,,"Iowa only provides public financing to political parties.  This is done through a """"Political Checkoff"""" on an individual's personal income tax return.
By checking the box, a resident with at least $1.50 in taxes may designate $1.50 to go to the political party of his or her choice.  Joint tax returns of at least $3.00 may earmark two $1.50 denominations of their taxes to the political party or parties of their choice.  If no political party is designated, then the contribution will be divided among the accounts in the same proportion as the number of qualified electors declaring affiliation with each political party.
These funds may only be spent by the party to pay expenses incurred in arranging and holding a nominating convention or purchase/lease items that will be used during an election cycle.",,
"IA2008","IA",2008,"Historic: Iowa Code § 56.19","No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","Have an election account with the state","Designated by taxpayer","N/A",,"IA",,,,,,,,,,
"IA2010","IA",2010,"Historic: Iowa Code § 56.19","No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","Have an election account with the state","Designated by taxpayer","N/A",,"IA",,,,,,,,,,
"IA2012","IA",2012,"Historic: Iowa Code § 56.19","No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","Have an election account with the state","Designated by taxpayer","N/A",,"IA",,,,,,,,,,
"IA2014","IA",2014,"Historic: Iowa Code § 56.19","No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","Have an election account with the state","Designated by taxpayer","N/A",,"IA",,,,,,,,,,
"IA2016","IA",2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"IA2018","IA",2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"IA2020","IA",2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"IA2002","IA",2002,"Historic: Iowa Code § 56.19","No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","Have an election account with the state","Designated by taxpayer","N/A",,"IA",,,,,,,,"Iowa only provides public financing to political parties.  This is done through a """"Political Checkoff"""" on an individual's personal income tax return.
By checking the box, a resident with at least $1.50 in taxes may designate $1.50 to go to the political party of his or her choice.  Joint tax returns of at least $3.00 may earmark two $1.50 denominations of their taxes to the political party or parties of their choice.  If no political party is designated, then the contribution will be divided among the accounts in the same proportion as the number of qualified electors declaring affiliation with each political party.
These funds may only be spent by the party to pay expenses incurred in arranging and holding a nominating convention or purchase/lease items that will be used during an election cycle.",,
"MD2004","MD",2004,"2002 Md. Laws, Chap. 291, §4; Md. Election Law Code Ann. §15-101 et. Seq.","No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"Yes","Matching Funds","1:1 in opposed primary; 1:3 in unopposed primary; If opposed, all candidates receive the same amount in the general election; if unopposed, candidate is ineligible for public funding in the general election.","Must raise private contributions from individuals that is 10% of the maximum campaign expenditure limit for an election in contributions of not more than $250 from an individual.","Yes","2,086,871.73","Yes","Public funds may only be spent by the authority of the candidate or treasurer to further the candidate's nomination or election, for expenses incurred no later than 30 days after the election for which they were made, and for purposes that do not violate state law. Unspent public funds must be repaid no later than 60 days after the election for which the funds were granted.","No",,,"No","No","No",,,,,,,,,,,,,"No",,,,,"MD",,,,,,,,,,
"MD2010","MD",2010,"2002 Md. Laws, Chap. 291, §4; Md. Election Law Code Ann. §15-101 et. Seq.","No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"Yes","Matching Funds","1:1 in opposed primary; 1:3 in unopposed primary; If opposed, all candidates receive the same amount in the general election; if unopposed, candidate is ineligible for public funding in the general election.","Must raise private contributions from individuals that is 10% of the maximum campaign expenditure limit for an election in contributions of not more than $250 from an individual.","Yes","2,298,018.93","Yes","Public funds may only be spent by the authority of the candidate or treasurer to further the candidate's nomination or election, for expenses incurred no later than 30 days after the election for which they were made, and for purposes that do not violate state law. Unspent public funds must be repaid no later than 60 days after the election for which the funds were granted.","No",,,"No","No","No",,,,,,,,,,,,,"No",,,,,"MD",,,,,,,,,,
"MD1998","MD",1998,"Old Code: Md. Ann. Code. Art. 33 § 15-101 et. seq. (1957); Current Code: Md. Election Law Code Ann. §15-101 et. Seq.","No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"Yes","Matching Funds","1:1 in opposed primary; 1:3 in unopposed primary; If opposed, all candidates receive the same amount in the general election; if unopposed, candidate is ineligible for public funding in the general election.","Must raise private contributions from individuals that is 10% of the maximum campaign expenditure limit for an election in contributions of not more than $250 from an individual.","Yes",,"Yes","Public funds may only be spent by the authority of the candidate or treasurer to further the candidate's nomination or election, for expenses incurred no later than 30 days after the election for which they were made, and for purposes that do not violate state law. Unspent public funds must be repaid no later than 60 days after the election for which the funds were granted.","No",,,"No","No","No",,,,,,,,,,,,,"No",,,,,"MD",,,,,,,,"$500 add-on that taxpayer may contribute when filing taxes as well as fines for election code violations. Money can also be directly appropriated by the legislature.",,
"MD2014","MD",2014,"2002 Md. Laws, Chap. 291, §4; Md. Election Law Code Ann. §15-101 et. Seq.","No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"Yes","Matching Funds","1:1 in opposed primary; 1:3 in unopposed primary; If opposed, all candidates receive the same amount in the general election; if unopposed, candidate is ineligible for public funding in the general election.","Must raise private contributions from individuals that is 10% of the maximum campaign expenditure limit for an election in contributions of not more than $250 from an individual.","Yes","2,586,124.21","Yes","Public funds may only be spent by the authority of the candidate or treasurer to further the candidate's nomination or election, for expenses incurred no later than 30 days after the election for which they were made, and for purposes that do not violate state law. Unspent public funds must be repaid no later than 60 days after the election for which the funds were granted.","No",,,"No","No","No",,,,,,,,,,,,,"No",,,,,"MD",,,,,,,,,,
"MD1996","MD",1996,"Old Code: Md. Ann. Code. Art. 33 § 15-101 et. seq. (1957); Current Code: Md. Election Law Code Ann. §15-101 et. Seq.","No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"Yes","Matching Funds","1:1 in opposed primary; 1:3 in unopposed primary; If opposed, all candidates receive the same amount in the general election; if unopposed, candidate is ineligible for public funding in the general election.","Must raise private contributions from individuals that is 10% of the maximum campaign expenditure limit for an election in contributions of not more than $250 from an individual.","Yes",,"Yes","Public funds may only be spent by the authority of the candidate or treasurer to further the candidate's nomination or election, for expenses incurred no later than 30 days after the election for which they were made, and for purposes that do not violate state law. Unspent public funds must be repaid no later than 60 days after the election for which the funds were granted.","No",,,"No","No","No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"$500 add-on that taxpayer may contribute when filing taxes as well as fines for election code violations. Money can also be directly appropriated by the legislature.",,
"MD2012","MD",2012,"2002 Md. Laws, Chap. 291, §4; Md. Election Law Code Ann. §15-101 et. Seq.","No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"Yes","Matching Funds","1:1 in opposed primary; 1:3 in unopposed primary; If opposed, all candidates receive the same amount in the general election; if unopposed, candidate is ineligible for public funding in the general election.","Must raise private contributions from individuals that is 10% of the maximum campaign expenditure limit for an election in contributions of not more than $250 from an individual.","Yes","2,586,124.21","Yes","Public funds may only be spent by the authority of the candidate or treasurer to further the candidate's nomination or election, for expenses incurred no later than 30 days after the election for which they were made, and for purposes that do not violate state law. Unspent public funds must be repaid no later than 60 days after the election for which the funds were granted.","No",,,"No","No","No",,,,,,,,,,,,,"No",,,,,"MD",,,,,,,,,,
"MD2006","MD",2006,"2002 Md. Laws, Chap. 291, §4; Md. Election Law Code Ann. §15-101 et. Seq.","No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"Yes","Matching Funds","1:1 in opposed primary; 1:3 in unopposed primary; If opposed, all candidates receive the same amount in the general election; if unopposed, candidate is ineligible for public funding in the general election.","Must raise private contributions from individuals that is 10% of the maximum campaign expenditure limit for an election in contributions of not more than $250 from an individual.","Yes","2,086,871.73","Yes","Public funds may only be spent by the authority of the candidate or treasurer to further the candidate's nomination or election, for expenses incurred no later than 30 days after the election for which they were made, and for purposes that do not violate state law. Unspent public funds must be repaid no later than 60 days after the election for which the funds were granted.","No",,,"No","No","No",,,,,,,,,,,,,"No",,,,,"MD",,,,,,,,,,
"MD2002","MD",2002,"2002 Md. Laws, Chap. 291, §4; Md. Election Law Code Ann. §15-101 et. Seq.","No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"Yes","Matching Funds","1:1 in opposed primary; 1:3 in unopposed primary; If opposed, all candidates receive the same amount in the general election; if unopposed, candidate is ineligible for public funding in the general election.","Must raise private contributions from individuals that is 10% of the maximum campaign expenditure limit for an election in contributions of not more than $250 from an individual.","Yes",,"Yes","Public funds may only be spent by the authority of the candidate or treasurer to further the candidate's nomination or election, for expenses incurred no later than 30 days after the election for which they were made, and for purposes that do not violate state law. Unspent public funds must be repaid no later than 60 days after the election for which the funds were granted.","No",,,"No","No","No",,,,,,,,,,,,,"No",,,,,"MD",,,,,,,,,,
"MD2000","MD",2000,"Old Code: Md. Ann. Code. Art. 33 § 15-101 et. seq. (1957); Current Code: Md. Election Law Code Ann. §15-101 et. Seq.",,,,,,,,,,,,,,"No",,,,,,,,,,,,,"Yes","Matching Funds","1:1 in opposed primary; 1:3 in unopposed primary; If opposed, all candidates receive the same amount in the general election; if unopposed, candidate is ineligible for public funding in the general election.","Must raise private contributions from individuals that is 10% of the maximum campaign expenditure limit for an election in contributions of not more than $250 from an individual.","Yes",,"Yes","Public funds may only be spent by the authority of the candidate or treasurer to further the candidate's nomination or election, for expenses incurred no later than 30 days after the election for which they were made, and for purposes that do not violate state law. Unspent public funds must be repaid no later than 60 days after the election for which the funds were granted.","No",,,"No","No","No",,,,,,,,,,,,,"No",,,,,"MD",,,,,,,,"$500 add-on that taxpayer may contribute when filing taxes as well as fines for election code violations. Money can also be directly appropriated by the legislature.",,
"MD2008","MD",2008,"2002 Md. Laws, Chap. 291, §4; Md. Election Law Code Ann. §15-101 et. Seq.","No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"Yes","Matching Funds","1:1 in opposed primary; 1:3 in unopposed primary; If opposed, all candidates receive the same amount in the general election; if unopposed, candidate is ineligible for public funding in the general election.","Must raise private contributions from individuals that is 10% of the maximum campaign expenditure limit for an election in contributions of not more than $250 from an individual.","Yes","2,298,018.93","Yes","Public funds may only be spent by the authority of the candidate or treasurer to further the candidate's nomination or election, for expenses incurred no later than 30 days after the election for which they were made, and for purposes that do not violate state law. Unspent public funds must be repaid no later than 60 days after the election for which the funds were granted.","No",,,"No","No","No",,,,,,,,,,,,,"No",,,,,"MD",,,,,,,,,,
"GA2016","GA",2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GA1998","GA",1998,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"GA",,,,,,,,,,
"GA2000","GA",2000,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"GA",,,,,,,,,,
"GA2002","GA",2002,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"GA",,,,,,,,,,
"GA2004","GA",2004,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"GA",,,,,,,,,,
"GA2006","GA",2006,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"GA",,,,,,,,,,
"GA2008","GA",2008,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"GA",,,,,,,,,,
"GA2010","GA",2010,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"GA",,,,,,,,,,
"GA2012","GA",2012,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"GA",,,,,,,,,,
"GA2014","GA",2014,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"GA",,,,,,,,,,
"GA1996","GA",1996,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,,,,,,,,,,,
"ID2016","ID",2016,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"ID",,,,,,,,,,
"ID1998","ID",1998,"1978 Idaho Sess. Laws 94 (Idaho Code Ann. § 63-3088 (1998)); 1975 Idaho Sess. Laws 132 (Idaho Code Ann. § 34-2503 (1998)).","No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","All Parties Eligible","Grant; See Below","Unlimited",,"ID",,,,,,,,"Every individual whose income tax liability for any taxable year is $1.00 or more may designate $1.00 to be paid into an election campaign fund. The dollar may be allocated to any political party. The political parties shall receive all allocated funds. Of any unallocated funds 90% shall be distributed to the central committees in proportion to the share of the votes cast for the candidate of the party for the office of governor in the last election for governor, provided that no party shall receive more than 50% of the fund so distributed. Any portion of the fund not distributed shall revert to the fund and, together with the 10% reserved, be distributed in equal portions to all major, minor and new political parties which have qualified candidates for elective state office for the ballot in the next general election.",,
"ID2000","ID",2000,"1978 Idaho Sess. Laws 94 (Idaho Code Ann. § 63-3088 (2000)); 1975 Idaho Sess. Laws 132 (Idaho Code Ann. § 34-2503 (2000)).","No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","All Parties Eligible","Grant; See Below","Unlimited",,"ID",,,,,,,,,,
"ID2002","ID",2002,"1978 Idaho Sess. Laws 94 (Idaho Code Ann. § 63-3088 (2002)); 1975 Idaho Sess. Laws 132 (Idaho Code Ann. § 34-2503 (2002)).","No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","All Parties Eligible","Grant; See Below","Unlimited",,"ID",,,,,,,,,,
"ID2004","ID",2004,"1978 Idaho Sess. Laws 94 (Idaho Code Ann. § 63-3088 (2004)); 1975 Idaho Sess. Laws 132 (Idaho Code Ann. § 34-2503 (2004)).","No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","All Parties Eligible","Grant; See Below","Unlimited",,"ID",,,,,,,,,,
"ID2006","ID",2006,"1978 Idaho Sess. Laws 94 (Idaho Code Ann. § 63-3088 (2006)); 1975 Idaho Sess. Laws 132 (Idaho Code Ann. § 34-2503 (2006)).","No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","All Parties Eligible","Grant; See Below","Unlimited",,"ID",,,,,,,,,,
"ID2008","ID",2008,"1978 Idaho Sess. Laws 94 (Idaho Code Ann. § 63-3088 (2008)); 1975 Idaho Sess. Laws 132 (Idaho Code Ann. § 34-2503 (2008)).","No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","All Parties Eligible","Grant; See Below","Unlimited",,"ID",,,,,,,,,,
"ID2010","ID",2010,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"Changed mid-cycle",,,,,"ID",,,,,,,,"Previous system abolished via 2010 Ida. HB 379.",,
"ID2012","ID",2012,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"ID",,,,,,,,,,
"ID1996","ID",1996,"1978 Idaho Sess. Laws 94 (Idaho Code Ann. § 63-3088 (1996)); 1975 Idaho Sess. Laws 132 (Idaho Code Ann. § 34-2503 (1996)).","No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","All Parties Eligible","Grant; See Below","Unlimited",,,,,,,,,,"Every individual whose income tax liability for any taxable year is $1.00 or more may designate $1.00 to be paid into an election campaign fund. The dollar may be allocated to any political party. The political parties shall receive all allocated funds. Of any unallocated funds 90% shall be distributed to the central committees in proportion to the share of the votes cast for the candidate of the party for the office of governor in the last election for governor, provided that no party shall receive more than 50% of the fund so distributed. Any portion of the fund not distributed shall revert to the fund and, together with the 10% reserved, be distributed in equal portions to all major, minor and new political parties which have qualified candidates for elective state office for the ballot in the next general election.",,
"ID2014","ID",2014,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"ID",,,,,,,,,,
